,string,word,passage,p,version
0,lamb,lamb,They liked the marinated lamb. They liked the grilled [MASK] .,0.0017920847749337554,M1_a_M1_b
1,lamb,lamb,They liked the marinated lamb. They liked the cute [MASK] .,0.00010831168765434998,M1_a_M2_a
2,lamb,lamb,They liked the marinated lamb. They liked the friendly [MASK] .,0.0001818014279706404,M1_a_M2_b
3,lamb,lamb,They liked the grilled lamb. They liked the marinated [MASK] .,0.0009137503802776337,M1_b_M1_a
4,lamb,lamb,They liked the grilled lamb. They liked the cute [MASK] .,1.8913737221737406e-05,M1_b_M2_a
5,lamb,lamb,They liked the grilled lamb. They liked the friendly [MASK] .,3.415485844016075e-05,M1_b_M2_b
6,lamb,lamb,They liked the cute lamb. They liked the marinated [MASK] .,0.003295236267149448,M2_a_M1_a
7,lamb,lamb,They liked the cute lamb. They liked the grilled [MASK] .,0.00014048056618776178,M2_a_M1_b
8,lamb,lamb,They liked the cute lamb. They liked the friendly [MASK] .,0.00016069968114607042,M2_a_M2_b
9,lamb,lamb,They liked the friendly lamb. They liked the marinated [MASK] .,0.007701574824750425,M2_b_M1_a
10,lamb,lamb,They liked the friendly lamb. They liked the grilled [MASK] .,0.001404582522809505,M2_b_M1_b
11,lamb,lamb,They liked the friendly lamb. They liked the cute [MASK] .,0.000326109438901767,M2_b_M2_a
12,book,book,He had a best-selling book. He had a popular [MASK] .,0.5258706212043762,M1_a_M1_b
13,book,book,He had a best-selling book. He had a heavy [MASK] .,0.0018454851815477011,M1_a_M2_a
14,book,book,He had a best-selling book. He had a leather-bound [MASK] .,0.401126503944397,M1_a_M2_b
15,book,book,He had a popular book. He had a best-selling [MASK] .,0.8556270599365234,M1_b_M1_a
16,book,book,He had a popular book. He had a heavy [MASK] .,0.016856729984283444,M1_b_M2_a
17,book,book,He had a popular book. He had a leather-bound [MASK] .,0.2598074674606323,M1_b_M2_b
18,book,book,He had a heavy book. He had a best-selling [MASK] .,0.5644142031669617,M2_a_M1_a
19,book,book,He had a heavy book. He had a popular [MASK] .,0.26205044984817505,M2_a_M1_b
20,book,book,He had a heavy book. He had a leather-bound [MASK] .,0.4374171197414398,M2_a_M2_b
21,book,book,He had a leather-bound book. He had a best-selling [MASK] .,0.5463637709617615,M2_b_M1_a
22,book,book,He had a leather-bound book. He had a popular [MASK] .,0.01707753166556359,M2_b_M1_b
23,book,book,He had a leather-bound book. He had a heavy [MASK] .,0.001001132884994149,M2_b_M2_a
24,breakfast,breakfast,They ate a pancake breakfast. They ate a nutritious [MASK] .,0.0229173805564642,M1_a_M1_b
25,breakfast,breakfast,They ate a pancake breakfast. They ate a family [MASK] .,0.03242198005318641,M1_a_M2_a
26,breakfast,breakfast,They ate a pancake breakfast. They ate a lonely [MASK] .,0.017118375748395927,M1_a_M2_b
27,breakfast,breakfast,They ate a nutritious breakfast. They ate a pancake [MASK] .,0.005332658533006907,M1_b_M1_a
28,breakfast,breakfast,They ate a nutritious breakfast. They ate a family [MASK] .,0.01875604130327702,M1_b_M2_a
29,breakfast,breakfast,They ate a nutritious breakfast. They ate a lonely [MASK] .,0.02801944687962532,M1_b_M2_b
30,breakfast,breakfast,They ate a family breakfast. They ate a pancake [MASK] .,0.0008567519253119828,M2_a_M1_a
31,breakfast,breakfast,They ate a family breakfast. They ate a nutritious [MASK] .,0.0002588089264463635,M2_a_M1_b
32,breakfast,breakfast,They ate a family breakfast. They ate a lonely [MASK] .,0.02170507423579693,M2_a_M2_b
33,breakfast,breakfast,They ate a lonely breakfast. They ate a pancake [MASK] .,0.0006848650518804789,M2_b_M1_a
34,breakfast,breakfast,They ate a lonely breakfast. They ate a nutritious [MASK] .,0.0026285361964255576,M2_b_M1_b
35,breakfast,breakfast,They ate a lonely breakfast. They ate a family [MASK] .,0.1225528195500374,M2_b_M2_a
36,chicken,chicken,They liked the juicy chicken. They liked the roasted [MASK] .,0.015012146905064578,M1_a_M1_b
37,chicken,chicken,They liked the juicy chicken. They liked the clucking [MASK] .,0.011377272196114063,M1_a_M2_a
38,chicken,chicken,They liked the juicy chicken. They liked the pet [MASK] .,0.003920803777873515,M1_a_M2_b
39,chicken,chicken,They liked the roasted chicken. They liked the juicy [MASK] .,0.005801843013614414,M1_b_M1_a
40,chicken,chicken,They liked the roasted chicken. They liked the clucking [MASK] .,0.0041162115521728975,M1_b_M2_a
41,chicken,chicken,They liked the roasted chicken. They liked the pet [MASK] .,0.0020108944736421117,M1_b_M2_b
42,chicken,chicken,They liked the clucking chicken. They liked the juicy [MASK] .,0.10219844430685045,M2_a_M1_a
43,chicken,chicken,They liked the clucking chicken. They liked the roasted [MASK] .,0.021718153730034828,M2_a_M1_b
44,chicken,chicken,They liked the clucking chicken. They liked the pet [MASK] .,0.0036692265421152106,M2_a_M2_b
