,level_0,index,Source,String,Word,Class,Original Condition,M1_a,M1_b,M2_a,M2_b,Flag,Different_entries_MW,Different_entries_OED,Ambiguity_Type,Different_etymology_OED,Comments,Different_frame,K_relatedness,Sentence_frame,Disambiguating_Cxn
0,0,0,Klepousniotou et al (2008),lamb,lamb,N,high overlap,They liked the marinated lamb.,They liked the grilled lamb.,They liked the cute lamb.,They liked the friendly lamb.,,Polysemy,Polysemy,Polysemy,No,,No,4,They liked,Attributive
1,2,2,Klepousniotou et al (2008),book,book,N,high overlap,He had a best-selling book.,He had a popular book.,He had a heavy book.,He had a leather-bound book.,,Polysemy,Polysemy,Polysemy,No,,No,4.73,He had,Attributive
2,3,3,Klepousniotou et al (2008),breakfast,breakfast,N,high overlap,They ate a pancake breakfast.,They ate a nutritious breakfast.,They ate a family breakfast.,They ate a lonely breakfast.,,Polysemy,Unsure,Polysemy,No,"M2_b kind odd b/c of singular ""they""",No,4.45,They ate,Attributive
3,4,4,Klepousniotou et al (2008),chicken,chicken,N,high overlap,They liked the juicy chicken.,They liked the roasted chicken.,They liked the clucking chicken.,They liked the pet chicken.,,Polysemy,Polysemy,Polysemy,No,,No,4.14,They liked,Attributive
4,5,5,Klepousniotou et al (2008),class,class,N,high overlap,It was a perceptive class.,It was a misbehaving class.,It was a boring class.,It was a stimulating class.,,Polysemy,Polysemy,Polysemy,No,,No,4.05,It was,Attributive
5,7,7,Klepousniotou et al (2008),contribution,contribution,N,high overlap,He made a charitable contribution.,He made a voluntary contribution.,He made a scholarly contribution.,He made a well-written contribution.,,Polysemy,Polysemy,Polysemy,No,,No,3.86,He made,Attributive
6,8,8,Klepousniotou et al (2008),design,design,N,high overlap,They liked the floral design.,They liked the geometric design.,They liked the product design.,They liked the architectural design.,,Polysemy,Polysemy,Polysemy,No,,No,4.05,They liked,Attributive
7,9,9,Klepousniotou et al (2008),dinner,dinner,N,high overlap,They liked the turkey dinner.,They liked the light dinner.,They liked the formal dinner.,They liked the anniversary dinner.,,Polysemy,Unsure,Polysemy,No,,No,4.32,They liked,Attributive
8,10,10,Klepousniotou et al (2008),dream,dream,N,high overlap,He had a recurring dream.,He had a bad dream.,He had a childhood dream.,He had a career dream.,,Polysemy,Polysemy,Polysemy,No,,No,3.77,He had,Attributive
9,12,12,Klepousniotou et al (2008),examination,examination,N,high overlap,It was a multiple-choice examination.,It was a difficult examination.,It was a prostate examination.,It was a physical examination.,,Polysemy,Polysemy,Polysemy,,,No,3.91,it was,Attributive
10,13,13,Klepousniotou et al (2008),guard,guard,N,high overlap,They liked the night guard.,They liked the security guard.,They liked the coast guard.,They liked the national guard.,,Unsure,Polysemy,Polysemy,,M2 maybe idiomatic / MWE?,No,4.27,They liked,Attributive
11,14,14,Klepousniotou et al (2008),home,home,N,high overlap,It was a summer home.,It was a childhood home.,It was a funeral home.,It was a nursing home.,,Polysemy,Polysemy,Polysemy,,,No,3.73,It was,Attributive
12,15,15,Klepousniotou et al (2008),lunch,lunch,N,high overlap,They liked the hot lunch.,They liked the sandwich lunch.,They liked the afternoon lunch.,They liked the women's lunch.,,Polysemy,Unsure,Polysemy,,,No,4.27,They liked,Attributive
13,16,16,Klepousniotou et al (2008),magazine,magazine,N,high overlap,She had a women's magazine.,She had a sports magazine.,She had a glossy magazine.,She had an old magazine.,,Unsure,Unsure,Unsure,,"Unclear in MW and OED whether distinct, though clear distinction",No,4.55,She had,Attributive
14,17,17,Klepousniotou et al (2008),medicine,medicine,N,high overlap,It was cough medicine.,It was prescription medicine.,It was orthopedic medicine.,It was veterinary medicine.,,Polysemy,Polysemy,Polysemy,,,No,3.59,It is,Attributive
15,18,18,Klepousniotou et al (2008),message,message,N,high overlap,There was a phone message.,There was a computer message.,There was an urgent message.,There was a clear message.,,Polysemy,Polysemy,Polysemy,,,No,4.18,There is,Attributive
16,19,19,Klepousniotou et al (2008),newspaper,newspaper,N,high overlap,It was a national newspaper.,It was a daily newspaper.,It was a faded newspaper.,It was a shredded newspaper.,,Polysemy,Polysemy,Polysemy,,,No,4.5,It is,Attributive
17,20,20,Klepousniotou et al (2008),novel,novel,N,high overlap,It was a best-selling novel.,It was a popular novel.,It was a thick novel.,It was a paperback novel.,,Unsure,Unsure,Unsure,,"Unclear in MW whether distinct, though clear distinction",No,4.59,It is,Attributive
18,21,21,Klepousniotou et al (2008),oil,oil,N,high overlap,It was canola oil.,It was cooking oil.,It was crude oil.,It was engine oil.,,Unsure,Unsure,Unsure,,"Unclear in MW whether distinct, though clear distinction",No,3.64,It is,Attributive
19,22,22,Klepousniotou et al (2008),act,act,N,moderate overlap,It was a desperate act.,It was a humane act.,It was a magic act.,It was a comedic act.,,Polysemy,Polysemy,Polysemy,,,No,2.86,It was,Attributive
20,23,23,Klepousniotou et al (2008),atmosphere,atmosphere,N,moderate overlap,It was a tense atmosphere.,It was a hostile atmosphere.,It was a gaseous atmosphere.,It was a polluted atmosphere.,,Polysemy,Polysemy,Polysemy,,,No,3,It was,Attributive
21,24,24,Klepousniotou et al (2008),barrier,barrier,N,moderate overlap,There was a police barrier.,There was a concrete barrier.,There was a language barrier.,There was a religious barrier.,,Polysemy,Polysemy,Polysemy,,,No,3.09,There was,Attributive
22,25,25,Klepousniotou et al (2008),beam,beam,N,moderate overlap,He saw the laser beam.,He saw the bright beam.,He saw the wood beam.,He saw the balance beam.,,Polysemy,Polysemy,Polysemy,,,No,2.64,He saw,Attributive
23,26,26,Klepousniotou et al (2008),blood,blood,N,moderate overlap,He has coagulated blood.,He has thin blood.,He has noble blood.,He has royal blood.,,Polysemy,Polysemy,Polysemy,,,No,3.27,He has,Attributive
24,28,28,Klepousniotou et al (2008),case,case,N,moderate overlap,It was a beer case.,It was a display case.,It was a divorce case.,It was a criminal case.,,Homonymy,Homonymy,Homonymy,,Changed M1 sense to be possible homonym,No,3.18,It was,Attributive
25,29,29,Klepousniotou et al (2008),cause,cause,N,moderate overlap,It was a worthy cause.,It was a political cause.,It was a main cause.,It was a primary cause.,,Polysemy,Polysemy,Polysemy,,,No,3.09,It was,Attributive
26,30,30,Klepousniotou et al (2008),cone,cone,N,moderate overlap,It was a waffle cone.,It was a sugar cone.,It was an orange cone.,It was a traffic cone.,,Unsure,Polysemy,Polysemy,,,Yes,2.59,She had,Attributive
27,33,33,Klepousniotou et al (2008),film,film,N,moderate overlap,It was an action film.,It was a censored film.,It was a transparent film.,It was a plastic film.,,Polysemy,Polysemy,Polysemy,,Changed M2,Yes,2.86,It was,Attributive
28,34,34,Klepousniotou et al (2008),ground,ground,N,moderate overlap,He was on the firm ground.,He was on the frozen ground.,He was on the camp ground.,He was on the parade ground.,,Polysemy,Polysemy,Polysemy,,,No,3.27,It was,Attributive
